City,ID,Lat,Long,Max Temp,Humidity,Cloudiness,Wind,Country,Date
yellowknife,6185377,62.456,-114.3525,67.96,43,5,12.17,CA,Sat Jun 26 21:11:20 2021
atuona,4020109,-9.8,-139.0333,78.94,66,6,21.25,PF,Sat Jun 26 21:11:20 2021
san quintin,3984997,30.4833,-115.95,64.2,84,0,11.56,MX,Sat Jun 26 21:11:20 2021
hasaki,2112802,35.7333,140.8333,79.18,81,100,8.34,JP,Sat Jun 26 21:11:21 2021
port alfred,964432,-33.5906,26.891,53.4,79,61,6.78,ZA,Sat Jun 26 21:11:21 2021
bazarnyy syzgan,578465,53.7512,46.7535,72.82,78,72,1.92,RU,Sat Jun 26 21:11:21 2021
barcelos,2742416,41.5388,-8.6151,60.91,97,38,2.39,PT,Sat Jun 26 21:11:22 2021
sambava,1056899,-14.2667,50.1667,69.44,83,12,8.88,MG,Sat Jun 26 21:11:22 2021
faanui,4034551,-16.4833,-151.75,81.55,74,3,9.1,PF,Sat Jun 26 21:11:23 2021
chokurdakh,2126123,70.6333,147.9167,79.9,33,45,13.65,RU,Sat Jun 26 21:11:23 2021
mataura,6201424,-46.1927,168.8643,54.48,87,71,5.79,NZ,Sat Jun 26 21:11:23 2021
georgetown,1735106,5.4112,100.3354,88.9,67,20,1.99,MY,Sat Jun 26 21:11:24 2021
hirara,1862505,24.8,125.2833,83.25,86,100,18.54,JP,Sat Jun 26 21:11:24 2021
dikson,1507390,73.5069,80.5464,34.45,77,53,4.23,RU,Sat Jun 26 21:11:24 2021
rikitea,4030556,-23.1203,-134.9692,74.44,75,1,9.86,PF,Sat Jun 26 21:11:25 2021
bluff,2206939,-46.6,168.3333,54.81,81,72,19.64,NZ,Sat Jun 26 21:11:25 2021
saint-joseph,6690296,-21.3667,55.6167,70.47,76,1,3.87,RE,Sat Jun 26 21:11:25 2021
lamballe,3008225,48.4676,-2.5144,57.31,97,63,1.7,FR,Sat Jun 26 21:11:26 2021
hobart,2163355,-42.8794,147.3294,55.92,62,75,3,AU,Sat Jun 26 21:07:53 2021
hilo,5855927,19.7297,-155.09,81.28,77,20,8.05,US,Sat Jun 26 21:08:56 2021
husavik,2629833,66.0449,-17.3389,55.31,64,67,6.4,IS,Sat Jun 26 21:11:26 2021
albany,5106841,42.6001,-73.9662,76.95,84,85,6.85,US,Sat Jun 26 21:10:29 2021
avarua,4035715,-21.2078,-159.775,73.2,71,100,25.26,CK,Sat Jun 26 21:11:27 2021
punta arenas,3874787,-53.15,-70.9167,37.51,70,90,10.36,CL,Sat Jun 26 21:11:27 2021
east london,1006984,-33.0153,27.9116,55.4,60,63,4.61,ZA,Sat Jun 26 21:11:28 2021
bonavista,5905393,48.6499,-53.1147,56.16,82,93,14.85,CA,Sat Jun 26 21:11:28 2021
balikpapan,1650527,-1.2675,116.8289,83.39,79,40,8.05,ID,Sat Jun 26 21:11:29 2021
butaritari,2110227,3.0707,172.7902,83.37,74,100,12.62,KI,Sat Jun 26 21:11:29 2021
hofn,2630299,64.2539,-15.2082,50.7,66,100,1.66,IS,Sat Jun 26 21:11:29 2021
abu samrah,172515,35.3029,37.1841,77.13,49,0,6.98,SY,Sat Jun 26 21:11:30 2021
mikkeli,646005,61.6886,27.2723,66.15,100,90,4.61,FI,Sat Jun 26 21:11:30 2021
severo-kurilsk,2121385,50.6789,156.125,47.32,86,83,16.93,RU,Sat Jun 26 21:11:30 2021
cidreira,3466165,-30.1811,-50.2056,62.47,99,100,4,BR,Sat Jun 26 21:11:31 2021
ushuaia,3833367,-54.8,-68.3,37.06,81,90,9.22,AR,Sat Jun 26 21:11:31 2021
san patricio,4726521,28.017,-97.5169,84.09,75,1,13.76,US,Sat Jun 26 21:11:31 2021
jamestown,5122534,42.097,-79.2353,76.71,72,1,5.99,US,Sat Jun 26 21:11:32 2021
khatanga,2022572,71.9667,102.5,55.17,39,99,11.65,RU,Sat Jun 26 21:11:32 2021
severodvinsk,496285,64.5635,39.8302,53.71,73,25,5.93,RU,Sat Jun 26 21:11:33 2021
hermanus,3366880,-34.4187,19.2345,52.68,75,39,9.24,ZA,Sat Jun 26 21:11:33 2021
kaitangata,2208248,-46.2817,169.8464,55.92,60,78,6.08,NZ,Sat Jun 26 21:11:33 2021
salalah,286621,17.0151,54.0924,82.49,83,75,4.61,OM,Sat Jun 26 21:11:34 2021
torbay,6167817,47.6666,-52.7314,60.49,78,87,10.78,CA,Sat Jun 26 21:09:28 2021
qaanaaq,3831208,77.484,-69.3632,36.52,85,73,2.75,GL,Sat Jun 26 21:11:34 2021
awjilah,88533,29.1081,21.2869,82.62,35,0,7.87,LY,Sat Jun 26 21:11:34 2021
hithadhoo,1282256,-0.6,73.0833,82.54,71,50,7.81,MV,Sat Jun 26 21:11:35 2021
ancud,3899695,-41.8697,-73.8203,39.22,88,46,5.12,CL,Sat Jun 26 21:11:35 2021
warmbad,3352263,-28.45,18.7333,47.48,62,4,9.69,NA,Sat Jun 26 21:11:36 2021
sol-iletsk,491019,51.1631,54.9918,83.52,51,4,6.71,RU,Sat Jun 26 21:11:36 2021
bathsheba,3374083,13.2167,-59.5167,81.21,61,20,17.27,BB,Sat Jun 26 21:11:37 2021
hami,1529484,42.8,93.45,84.97,18,76,7.63,CN,Sat Jun 26 21:11:37 2021
barrow,5880054,71.2906,-156.7887,48.22,73,1,13.8,US,Sat Jun 26 21:11:37 2021
kapaa,5848280,22.0752,-159.319,82.72,74,40,1.99,US,Sat Jun 26 21:11:38 2021
sahuaripa,3988265,29.05,-109.2333,91.18,26,0,2.24,MX,Sat Jun 26 21:11:38 2021
busselton,2075265,-33.65,115.3333,57.04,81,100,23.85,AU,Sat Jun 26 21:11:38 2021
shimoda,1852357,34.6667,138.95,73.11,93,100,10.51,JP,Sat Jun 26 21:11:39 2021
cabo san lucas,3985710,22.8909,-109.9124,87.8,71,31,1.99,MX,Sat Jun 26 21:08:30 2021
victoria,1819729,22.2855,114.1577,89.58,88,83,5.99,HK,Sat Jun 26 21:07:12 2021
bojnurd,140380,37.4747,57.329,76.59,17,0,5.35,IR,Sat Jun 26 21:11:39 2021
saskylakh,2017155,71.9167,114.0833,53.26,41,98,3.94,RU,Sat Jun 26 21:11:40 2021
ormara,1168700,25.2088,64.6357,83.34,75,18,10.42,PK,Sat Jun 26 21:11:40 2021
barinas,3648546,8.6226,-70.2075,72.07,93,95,3.33,VE,Sat Jun 26 21:11:41 2021
victor harbor,2059470,-35.5667,138.6167,61.47,83,50,1.01,AU,Sat Jun 26 21:11:41 2021
lengshuijiang,1804169,27.6881,111.4294,90.55,64,93,5.28,CN,Sat Jun 26 21:11:41 2021
mar del plata,3430863,-38.0023,-57.5575,50.13,78,90,18.01,AR,Sat Jun 26 21:11:42 2021
challakere,1274862,14.3167,76.65,77.79,63,100,17.02,IN,Sat Jun 26 21:11:42 2021
saint george,5546220,37.1041,-113.5841,93.79,15,1,13.8,US,Sat Jun 26 21:11:42 2021
ribeira grande,3372707,38.5167,-28.7,68.09,79,25,11.1,PT,Sat Jun 26 21:11:43 2021
buraydah,107304,26.326,43.975,90.52,10,0,11.21,SA,Sat Jun 26 21:11:43 2021
along,1278969,28.1667,94.7667,80.35,92,100,2.89,IN,Sat Jun 26 21:11:44 2021
cape town,3369157,-33.9258,18.4232,56.88,65,62,3,ZA,Sat Jun 26 21:07:11 2021
seoul,1835848,37.5683,126.9778,84.61,39,45,1.03,KR,Sat Jun 26 21:10:18 2021
sao filipe,3374210,14.8961,-24.4956,74.88,87,59,6.53,CV,Sat Jun 26 21:11:44 2021
bethel,5282297,41.3712,-73.414,74.71,89,1,5.75,US,Sat Jun 26 21:11:45 2021
vaini,4032243,-21.2,-175.2,73.56,73,40,12.66,TO,Sat Jun 26 21:11:45 2021
